연번,약국명,소재지(도로명),위도,경도,전화번호,관리지역
1,지성약국,부산광역시 영도구 상리로 25(동삼동),35.08485207,129.0676998,051-403-2122,영도구
2,동신약국,부산광역시 금정구 금강로 180(장전동),35.22456572,129.0821398,051-582-5418,금정구
3,세종약국,부산광역시 수영구 광안해변로277번길 3,35.15603029,129.1240019,051-758-4915,수영구
4,사나약국,부산광역시 부산진구 중앙대로 701,35.15546368,129.0589095,051-922-9422,부산진구
5,메디팜유리행약국,부산광역시 강서구 낙동북로 74,35.21778902,128.937325,051-971-6264,강서구
6,포미약국,부산광역시 남구 용소로 15,35.13592493,129.1009455,051-924-4242,남구
7,영광약국,부산광역시 서구 대영로 65-1,35.11039901,129.0183854,051-247-7989,서구
8,정화약국,부산광역시 서구 대티로 167,35.11273607,129.0116462,051-241-0110,서구
9,센텀홍은약국,부산광역시 해운대구 센텀2로 10,35.16783146,129.1315191,051-746-1131,해운대구
10,감천무지개약국,부산광역시 사하구 옥천로 11,35.08868574,129.0052512,051-203-1032,사하구
11,영주약국,부산광역시 중구 대영로 219,35.11235126,129.0347767,051-464-0075,중구
12,한빛메디칼약국,부산광역시 연제구 연수로 137,35.1749378,129.085905,051-862-6132,연제구
13,365 하나약국,"부산광역시 해운대구 달맞이길 30, 포디움동 2013~2014호",35.161513,129.16781,051-741-2301,해운대구
14,동원당약국,부산광역시 동구 범일로90번길 16-1,35.138041,129.06124,051-636-3334,동구
15,튼튼약국,부산광역시 기장군 정관읍 정관로 615,35.320598,129.180092,051-727-7717,기장군
16,중앙약국,부산광역시 기장군 정관읍 정관4로 38,35.240265,129.229087,051-724-2060,기장군
